"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Daniel Braverman",3000,"ATL@CHI 01:00PM ET",0.000,"CHI"
"WR","Alton Howard",3000,"ATL@CHI 01:00PM ET",0,"CHI"
"RB","Josh Rounds",3000,"ATL@CHI 01:00PM ET",0,"CHI"
"WR","Josh Magee",3000,"ATL@CHI 01:00PM ET",0,"ATL"
"WR","Deante Burton",3000,"ATL@CHI 01:00PM ET",0,"ATL"
"WR","Reginald Davis III",3000,"ATL@CHI 01:00PM ET",0,"ATL"
"RB","Kelvin Taylor",3000,"ATL@CHI 01:00PM ET",0,"ATL"
"WR","Bra'Lon Cherry",3000,"ATL@CHI 01:00PM ET",0,"ATL"
"WR","Tanner Gentry",3000,"ATL@CHI 01:00PM ET",0,"CHI"
"RB","Freddie Stevenson",3000,"ATL@CHI 01:00PM ET",0,"CHI"
"WR","Reggie Davis",3000,"ATL@CHI 01:00PM ET",0,"ATL"
"TE","Austin Hooper",3000,"ATL@CHI 01:00PM ET",4.400,"ATL"
"RB","Tyler Renew",3000,"ATL@CHI 01:00PM ET",0,"ATL"
